,B_VALUE,C_VALUE,BETA1,BETA2,transactions,ETH,hours,days,FinalScore
0,100.0,100.0,0.9,500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
1,100.0,100.0,0.9,1000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
2,100.0,100.0,0.9,1500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
3,100.0,100.0,0.9,2000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
4,100.0,100.0,0.9,2500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
5,100.0,100.0,0.9,3000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
6,100.0,100.0,0.9,3500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
7,100.0,100.0,0.9,4000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
8,100.0,100.0,0.9,4500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
9,100.0,100.0,0.91,500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
10,100.0,100.0,0.91,1000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
11,100.0,100.0,0.91,1500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
12,100.0,100.0,0.91,2000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
13,100.0,100.0,0.91,2500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
14,100.0,100.0,0.91,3000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
15,100.0,100.0,0.91,3500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
16,100.0,100.0,0.91,4000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
17,100.0,100.0,0.91,4500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
18,100.0,100.0,0.92,500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
19,100.0,100.0,0.92,1000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
20,100.0,100.0,0.92,1500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
21,100.0,100.0,0.92,2000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
22,100.0,100.0,0.92,2500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
23,100.0,100.0,0.92,3000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
24,100.0,100.0,0.92,3500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
25,100.0,100.0,0.92,4000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
26,100.0,100.0,0.92,4500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
27,100.0,100.0,0.93,500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
28,100.0,100.0,0.93,1000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
29,100.0,100.0,0.93,1500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
30,100.0,100.0,0.93,2000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
31,100.0,100.0,0.93,2500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
32,100.0,100.0,0.93,3000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
33,100.0,100.0,0.93,3500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
34,100.0,100.0,0.93,4000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
35,100.0,100.0,0.93,4500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
36,100.0,100.0,0.94,500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
37,100.0,100.0,0.94,1000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
38,100.0,100.0,0.94,1500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
39,100.0,100.0,0.94,2000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
40,100.0,100.0,0.94,2500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
41,100.0,100.0,0.94,3000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
42,100.0,100.0,0.94,3500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
43,100.0,100.0,0.94,4000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
44,100.0,100.0,0.94,4500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
45,100.0,100.0,0.95,500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
46,100.0,100.0,0.95,1000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
47,100.0,100.0,0.95,1500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
48,100.0,100.0,0.95,2000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
49,100.0,100.0,0.95,2500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
50,100.0,100.0,0.95,3000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
51,100.0,100.0,0.95,3500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
52,100.0,100.0,0.95,4000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
53,100.0,100.0,0.95,4500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
54,100.0,100.0,0.96,500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
55,100.0,100.0,0.96,1000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
56,100.0,100.0,0.96,1500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
57,100.0,100.0,0.96,2000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
58,100.0,100.0,0.96,2500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
59,100.0,100.0,0.96,3000.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
60,100.0,100.0,0.96,3500.0,1000.0,2.32207,1000.0,41.666666666666664,0.24814048950054235
