,B_VALUE,C_VALUE,BETA1,BETA2,transactions,ETH,hours,days,FinalScore
0,100.0,100.0,0.9,500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
1,100.0,100.0,0.9,1000.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
2,100.0,100.0,0.9,1500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
3,100.0,100.0,0.9,2000.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
4,100.0,100.0,0.9,2500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
5,100.0,100.0,0.9,3000.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
6,100.0,100.0,0.9,3500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
7,100.0,100.0,0.9,4000.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
8,100.0,100.0,0.9,4500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
9,100.0,100.0,0.91,500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
10,100.0,100.0,0.91,1000.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
11,100.0,100.0,0.91,1500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
12,100.0,100.0,0.91,2000.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
13,100.0,100.0,0.91,2500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
14,100.0,100.0,0.91,3000.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
15,100.0,100.0,0.91,3500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
16,100.0,100.0,0.91,4000.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
17,100.0,100.0,0.91,4500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
18,100.0,100.0,0.92,500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
19,100.0,100.0,0.92,1000.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
20,100.0,100.0,0.92,1500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
21,100.0,100.0,0.92,2000.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
22,100.0,100.0,0.92,2500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
23,100.0,100.0,0.92,3000.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
24,100.0,100.0,0.92,3500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
25,100.0,100.0,0.92,4000.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
26,100.0,100.0,0.92,4500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
27,100.0,100.0,0.93,500.0,1000.0,2.32207,12000.0,500.0,0.3067721852476557
