,B_VALUE,C_VALUE,BETA1,BETA2,BETA3,BETA4,transactions,ETH,hours,days
0,100.0,100.0,1.0,0.01,10.0,0.01,38218.0,88.74487126,38218.0,1592.4166666666667
1,100.0,100.0,1.0,0.01,10.0,0.05,7644.0,17.74990308,7644.0,318.5
2,100.0,100.0,1.0,0.01,10.0,0.1,3822.0,8.87495154,3822.0,159.25
3,100.0,100.0,1.0,0.01,11.0,0.01,46972.0,109.07227204,46972.0,1957.1666666666667
4,100.0,100.0,1.0,0.01,11.0,0.05,9395.0,21.81584765,9395.0,391.4583333333333
5,100.0,100.0,1.0,0.01,11.0,0.1,4698.0,10.90908486,4698.0,195.75
6,100.0,100.0,1.0,0.01,12.0,0.01,60924.0,141.46979268,60924.0,2538.5
7,100.0,100.0,1.0,0.01,12.0,0.05,12185.0,28.29442295,12185.0,507.7083333333333
8,100.0,100.0,1.0,0.01,12.0,0.1,6093.0,14.14837251,6093.0,253.875
9,100.0,100.0,1.0,0.01,13.0,0.01,86611.0,201.11680477,86611.0,3608.7916666666665
10,100.0,100.0,1.0,0.01,13.0,0.05,17323.0,40.22521861,17323.0,721.7916666666666
11,100.0,100.0,1.0,0.01,13.0,0.1,8662.0,20.11377034,8662.0,360.9166666666667
12,100.0,100.0,1.0,0.01,14.0,0.01,148154.0,344.02395878,148154.0,6173.083333333333
13,100.0,100.0,1.0,0.01,14.0,0.05,29631.0,68.80525617,29631.0,1234.625
14,100.0,100.0,1.0,0.01,14.0,0.1,14816.0,34.40378912,14816.0,617.3333333333334
15,100.0,100.0,1.0,0.05,10.0,0.01,7644.0,17.74990308,7644.0,318.5
16,100.0,100.0,1.0,0.05,10.0,0.05,1529.0,3.55044503,1529.0,63.708333333333336
17,100.0,100.0,1.0,0.05,10.0,0.1,765.0,1.77638355,765.0,31.875
18,100.0,100.0,1.0,0.05,11.0,0.01,9395.0,21.81584765,9395.0,391.4583333333333
19,100.0,100.0,1.0,0.05,11.0,0.05,1879.0,4.36316953,1879.0,78.29166666666667
20,100.0,100.0,1.0,0.05,11.0,0.1,940.0,2.1827458,940.0,39.166666666666664
21,100.0,100.0,1.0,0.05,12.0,0.01,12185.0,28.29442295,12185.0,507.7083333333333
22,100.0,100.0,1.0,0.05,12.0,0.05,2437.0,5.65888459,2437.0,101.54166666666667
23,100.0,100.0,1.0,0.05,12.0,0.1,1219.0,2.83060333,1219.0,50.791666666666664
